fxo_id,entity_identifier,country,period_end,window,json_url,sha256_recorded,n_facts,n_concepts,n_ifrs_full,n_extension
213800W6DPUGWBGTD766-2021-12-31-ESEF-LU-0,213800W6DPUGWBGTD766,LU,2021-12-31,train,/213800W6DPUGWBGTD766/2021-12-31/ESEF/LU/0/ISS-Global-2021-12-31-en.json,767183879fdb55902d1f134a2fbbfda065e9bb09fa4d1a2b133eea2011b2d0bb,299,99,83,16
2221001SWMFR4N4VBK57-2021-12-31-ESEF-LU-0,2221001SWMFR4N4VBK57,LU,2021-12-31,train,/2221001SWMFR4N4VBK57/2021-12-31/ESEF/LU/0/2221001SWMFR4N4VBK57-2021-12-31-it.json,190513d2d27ae061183c79de20771dc71a89845ba4c0ce5570f00b6f35ab89a5,496,119,96,23
097900BGMO0000055872-2020-12-31-ESEF-LV-0,097900BGMO0000055872,LV,2020-12-31,train,/097900BGMO0000055872/2020-12-31/ESEF/LV/0/latvijasgze-2020-12-31.json,927c58efb53cdc25f01c92902cb6c24abcf4e9a0d31bd8c5a3601b8ccb8fe582,369,77,73,4
097900BGMO0000055872-2020-12-31-ESEF-LV-1,097900BGMO0000055872,LV,2020-12-31,train,/097900BGMO0000055872/2020-12-31/ESEF/LV/1/latvijasgze-2020-12-31.json,004ec2220d97d830ac0b8b42e5541f7d1af3bbeca12487c2e010acca3f8e985d,369,77,73,4
2138002PKHUJIMVMYB13-2021-12-31-ESEF-LV-0,2138002PKHUJIMVMYB13,LV,2021-12-31,train,/2138002PKHUJIMVMYB13/2021-12-31/ESEF/LV/0/delfingroup-2021-12-31-lv.json,f9f97c5f5f877c204a6c72ff647a5f9c7fde86d7e69745b9de433bc66f86be9e,236,96,93,3
2138002PKHUJIMVMYB13-2021-12-31-ESEF-LV-1,2138002PKHUJIMVMYB13,LV,2021-12-31,train,/2138002PKHUJIMVMYB13/2021-12-31/ESEF/LV/1/delfingroup-2021-12-31-en.json,5d3b9691620c43444ce388b8d48fda84c44d37508f1a30c30a162fda6ceb71bb,236,96,93,3
213800DJRB539Q1EMW75-2021-12-31-ESEF-LV-0,213800DJRB539Q1EMW75,LV,2021-12-31,train,/213800DJRB539Q1EMW75/2021-12-31/ESEF/LV/0/latvenergo-2021-12-31-en.json,7bcc1ddc9d9e1f685377b154f4435a5b7f2116d8f965d90e83c6315f3ae9a9c4,677,120,116,4
21380032UJDLSDYKD103-2021-12-31-ESEF-MT-0,21380032UJDLSDYKD103,MT,2021-12-31,train,/21380032UJDLSDYKD103/2021-12-31/ESEF/MT/0/halmann-20211231.json,ee003c3413bd78276c9281ca2c859506eb64d53c7435f9dfc012d086ed7c1616,230,93,78,15
2138003WBERIMWQVKZ64-2021-12-31-ESEF-MT-0,2138003WBERIMWQVKZ64,MT,2021-12-31,train,/2138003WBERIMWQVKZ64/2021-12-31/ESEF/MT/0/2138003WBERIMWQVKZ64-2021-12-31-en.json,e93b62010fce4c483e00850e70331213d875082ab2696224157e7d28e10aa300,474,135,111,24
2138004MEYJUDFJ3IQ49-2021-12-31-ESEF-MT-0,2138004MEYJUDFJ3IQ49,MT,2021-12-31,train,/2138004MEYJUDFJ3IQ49/2021-12-31/ESEF/MT/0/2138004MEYJUDFJ3IQ49-2021-12-31-en.json,249c070911cc12f1fb2484184a4a2b47816344a94d75cabeccfe8e03bb6db813,733,131,107,24
2138006ZLE74ESSXZM67-2021-12-31-ESEF-MT-0,2138006ZLE74ESSXZM67,MT,2021-12-31,train,/2138006ZLE74ESSXZM67/2021-12-31/ESEF/MT/0/2138006ZLE74ESSXZM67-2021-12-31-en.json,d68d7efd8a518a70259f3da235f3c9fcd3398a1f8dc3608e8cf155b00250da83,92,34,33,1
2138008EKXNMKZRXCT63-2021-12-31-ESEF-MT-0,2138008EKXNMKZRXCT63,MT,2021-12-31,train,/2138008EKXNMKZRXCT63/2021-12-31/ESEF/MT/0/MIAP_20211231_CON_AFR_2138008EKXNMKZRXCT63.json,769153802e4aa4dd5bfa041ec78699f4cc4f2d895729aac67db533592dc068fd,160,64,57,7
529900JK6UXHY1YKZ082-2020-12-31-ESEF-NL-0,529900JK6UXHY1YKZ082,NL,2020-12-31,train,/529900JK6UXHY1YKZ082/2020-12-31/ESEF/NL/0/shop-apotheke-europe.json,d4bb78d8dbf9cba2203c91593d8835c129a339821934848dde648d832801c2c1,255,77,71,6
549300072P3J1X8NZO35-2020-12-31-ESEF-NL-0,549300072P3J1X8NZO35,NL,2020-12-31,train,/549300072P3J1X8NZO35/2020-12-31/ESEF/NL/0/sig-2020-12-31.json,0abd8cb7838ba58ff48c56f230facfe6815039265e11b29aa7681b4fdb05a026,327,114,101,13
54930036WK3GMCN17Z57-2020-12-31-ESEF-NL-0,54930036WK3GMCN17Z57,NL,2020-12-31,train,/54930036WK3GMCN17Z57/2020-12-31/ESEF/NL/0/qgen-2020-12-31.json,d13355942f6a2a0a9db5ae436edb25c592a545bf34afb43351d5708a10400d1d,333,128,113,15
549300NCMRGIBJYUOE57-2020-12-31-ESEF-NL-0,549300NCMRGIBJYUOE57,NL,2020-12-31,train,/549300NCMRGIBJYUOE57/2020-12-31/ESEF/NL/0/549300NCMRGIBJYUOE57-2020-12-31.json,db7927d4f1ad9631ac4346ea75f4367d3cb92527ebb7d336145ea255a8ba4fd3,349,104,95,9
7245001I22ND6ZFHX623-2020-12-31-ESEF-NL-0,7245001I22ND6ZFHX623,NL,2020-12-31,train,/7245001I22ND6ZFHX623/2020-12-31/ESEF/NL/0/asm-2020-12-31.json,25aff5b7a500c5eb0ce04d49031b2e58cac9f541e5366fe31bf321b5f407f3f6,236,86,78,8
